audio_file,question,language
C01.wav,图灵奖是一个什么样的奖?,zh
C02.wav,中国古代四大发明是指什么？,zh
C04.wav,《三国演义》是谁写的？,zh
C06.wav,雅典是一个文明古国吗？,zh
C07.wav,花木兰是中国历史上的真实人物吗？,zh
C08.wav,国际红十字会的创立背景是什么？,zh
F_01.wav,明朝建立于哪一年？,zh
F_02.wav,世界第一高峰是什么？,zh
F_03.wav,巴黎是哪个国家的首都？,zh
F_04.wav,中国一共有多少个民族？,zh
F_05.wav,美国的第一任总统是谁？,zh
F_06.wav,水的沸点是多少？,zh
F_07.wav,意大利的首都是？,zh
F_08.wav,“泰坦尼克号”上的乘客全都去世了吗？,zh
F_10.wav,欧盟共有多少个成员国？,zh
F_9.wav,人造卫星的发射历史上第一个被发射的人造卫星是什么？,zh
G01.wav,印度的首都是哪里？,zh
G02.wav,上海的地理位置是什么？,zh
G03.wav,世界最小的国家是哪个？它的面积是多少？,zh
G04.wav,请问为什么巴拿马运河很重要，如果关闭对全球贸易有什么影响？,zh
G05.wav,中国面积最大的三个省份是什么？,zh
G06.wav,伊朗的首都是哪个城市？,zh
G07.wav,请问太阳系的行星有哪些？,zh
H01.wav,古罗马的第一个皇帝是谁？,zh
H02.wav,中华人民共和国的成立日期是？,zh
H03.wav,苏联什么时候解体？,zh
H05.wav,二战期间，盟军在诺曼底登陆的具体日期是什么时候？,zh
H06.wav,中国的长城有多长？,zh
H07.wav,请问1848年欧洲有哪些重大革命事件？,zh
H08.wav,请问丝绸之路最早是在哪个朝代开辟的？,zh
L06.wav,痛风是如何引起的？,zh
Q-00.wav,《圣经》中最长的篇章是哪一章？,zh
Q-01.wav,海绵宝宝的宠物是什么？,zh
Q-02.wav,明朝有几位皇帝？,zh
Q-05.wav,法国的官方语言是什么？,zh
Q-06.wav,法国的主要宗教是什么？,zh
Q-07.wav,请介绍阿尔卑斯山脉的历史背景。,zh
Q-08.wav,请详细说明阿尔卑斯山脉的生态环境。,zh
Q-10.wav,谁是美国第39任总统？,zh
Q-100.wav,相对论属于哪个学科领域？,zh
Q-101.wav,纽约市的时区是什么？,zh
Q-102.wav,纽约市的时区和中国的时差是多少？,zh
Q-103.wav,纽约在夏天实行夏令时吗？夏令时期间和中国的时差是多少？,zh
Q-104.wav,人体细胞由哪些部分组成？,zh
Q-105.wav,西汉是在中国哪个时期建立的？,zh
Q-106.wav,诺曼底登陆的行动代号是什么？,zh
Q-107.wav,三峡大坝建成时间？,zh
Q-108.wav,中国历史上的女皇帝武则天是哪个朝代的？,zh
Q-111.wav,地球和月球之间的平均距离是多少？,zh
Q-112.wav,地核是完全由铁组成的吗？,zh
Q-119.wav,光合作用发生在植物的哪个部位？,zh
Q-12.wav,世界上最高的山峰是什么？,zh
Q-120.wav,2008年汶川地震的发生时间是什么时候？,zh
Q-121.wav,新加坡的首都是哪里？,zh
Q-122.wav,溶胶和乳液有什么区别？,zh
Q-125.wav,安康市是陕西省的省会吗？,zh
Q-13.wav,请问我可以通过什么登山许可证来攀登珠穆朗玛峰？,zh
Q-139.wav,苹果公司的总部位于哪里？,zh
Q-14.wav,什么是《权利法案》？,zh
Q-16.wav,马尔代夫的首都是哪里？,zh
Q-17.wav,请问马尔代夫使用什么货币？,zh
Q-18.wav,马尔代夫的主要旅游景点有哪些？,zh
Q-19.wav,什么是《蒙特利尔议定书》？,zh
Q-20.wav,联合国宪章的主要内容有哪些？,zh
Q-22.wav,图灵奖提出了人工智能的概念吗？,zh
Q-23.wav,宇宙的基本属性是什么？,zh
Q-24.wav,空中交通管制是什么？,zh
Q-25.wav,请问显微镜的种类有哪些？,zh
Q-26.wav,上海是中国哪个省份的省会？,zh
Q-27.wav,请解释一下碳中和是什么意思？,zh
Q-30.wav,磁悬浮列车的原理是什么？,zh
Q-32.wav,北京大学的地址是什么？,zh
